TICK  218 - CMP RM1, RM2 | N=0,Z=1,V=0,C=0; RM1=1/0x1 RM2=1/0x1
TICK  219 @ 0xC7000000 -  JNE JAbsAddr; PC++ | PC=10/0xA
TICK  220 - RF2<-memI[0xA]; PC++ | RF2=13/0xD
TICK  221 - JNE not taken | PC=11/0xB; N=0,Z=1,V=0,C=0
TICK  222 @ 0x83000000 -  JMP JAbsAddr; PC++ | PC=12/0xC
TICK  223 - PC<-memI[0x2]| PC=2/0x2
TICK  224 @ 0x04220000 -  MOV MvImmReg; PC++ | PC=3/0x3
TICK  225 - RM1<-#1; PC++ | SP=268/0x10C
TICK  226 @ 0x0B802000 -  PUSH SingleReg; PC++ | PC=5/0x5
TICK  227 - SP=SP-4 | SP=264/0x108
TICK  228 - RF1=SP | SP=264/0x108
TICK  229 - memD[0x108]<-RM1 | memD[0x108]=0x1
TICK  230 - memD[0x109]<-RM1 | memD[0x109]=0x0
TICK  231 - memD[0x10A]<-RM1 | memD[0x10A]=0x0
TICK  232 - memD[0x10B]<-RM1 | memD[0x10B]=0x0
TICK  233 @ 0x04240000 -  MOV MvImmReg; PC++ | PC=6/0x6
TICK  234 - RM2<-#1; PC++ | SP=264/0x108
TICK  235 @ 0x0F820000 -  POP SingleReg; PC++ | PC=8/0x8
TICK  236 - RF1<-SP | RF1=264/0x108
TICK  237 - RM1<-memD[108] | RM1=1/0x1
TICK  238 - RM1<-memD[109] | RM1=1/0x1
TICK  239 - RM1<-memD[10A] | RM1=1/0x1
TICK  240 - RM1<-memD[10B] | RM1=   1/0x1
TICK  241 - SP=SP+4 | SP=264/0x108
TICK  242 @ 0x51C02400 -  CMP RegReg; PC++ | PC=9/0x9
TICK  243 - CMP RM1, RM2 | N=0,Z=1,V=0,C=0; RM1=1/0x1 RM2=1/0x1
TICK  244 @ 0xC7000000 -  JNE JAbsAddr; PC++ | PC=10/0xA
TICK  245 - RF2<-memI[0xA]; PC++ | RF2=13/0xD
TICK  246 - JNE not taken | PC=11/0xB; N=0,Z=1,V=0,C=0
TICK  247 @ 0x83000000 -  JMP JAbsAddr; PC++ | PC=12/0xC
TICK  248 - PC<-memI[0x2]| PC=2/0x2
TICK  249 @ 0x04220000 -  MOV MvImmReg; PC++ | PC=3/0x3
TICK  250 - RM1<-#1; PC++ | SP=268/0x10C
